category,type,value,date,additional_description
Vendas de Software,Receita,15600.00,2025-02-09,
Infraestrutura Cloud,Despesa,33800.00,2025-02-10,Renovação licença VMware
Assinatura SaaS,Receita,27400.00,2025-02-10,
Vendas de Software,Receita,18200.00,2025-02-11,
Marketing,Despesa,18900.00,2025-02-14,Campanha especial
Assinatura SaaS,Receita,25600.00,2025-02-12,
Vendas de Software,Receita,19400.00,2025-02-13,
Assinatura SaaS,Receita,23900.00,2025-02-15,Renovação domínio .cloud
Vendas de Software,Receita,16800.00,2025-02-16,
Assinatura SaaS,Receita,26100.00,2025-02-17,
Vendas de Software,Receita,17700.00,2025-02-18,
Viagem Comercial,Despesa,12700.00,2025-02-20,Conferência Mobile World
Assinatura SaaS,Receita,22800.00,2025-02-19,
Vendas de Software,Receita,21300.00,2025-02-21,
Assinatura SaaS,Receita,25100.00,2025-02-22,
Vendas de Software,Receita,18500.00,2025-02-23,
Assinatura SaaS,Receita,24300.00,2025-02-24,
Manutenção,Despesa,9200.00,2025-02-25,Atualização switches
Vendas de Software,Receita,19600.00,2025-02-26,
Assinatura SaaS,Receita,23400.00,2025-02-27,
Vendas de Software,Receita,17900.00,2025-02-28,
Aluguel,Despesa,16500.00,2025-03-01,Aluguel sede corporativa
Assinatura SaaS,Receita,28500.00,2025-03-01,Renovação contrato global
Vendas de Software,Receita,21400.00,2025-03-02,
Assinatura SaaS,Receita,27200.00,2025-03-03,
Vendas de Software,Receita,19800.00,2025-03-04,
Água/Luz,Despesa,4200.00,2025-03-05,
Folha de Pagamento,Despesa,75200.00,2025-03-05,Salários + PLR
Assinatura SaaS,Receita,26300.00,2025-03-06,
Telefone/Internet,Despesa,2100.00,2025-03-07,
Vendas de Software,Receita,22700.00,2025-03-07,
Assinatura SaaS,Receita,29100.00,2025-03-08,
Vendas de Software,Receita,18500.00,2025-03-09,
Infraestrutura Cloud,Despesa,35200.00,2025-03-10,Atualização CDN
Assinatura SaaS,Receita,30200.00,2025-03-10,Renovação certificado SSL
Vendas de Software,Receita,24300.00,2025-03-11,
Consultoria Cibersegurança,Despesa,18400.00,2025-03-12,Resposta a incidente de segurança
Assinatura SaaS,Receita,27800.00,2025-03-13,
Vendas de Software,Receita,21600.00,2025-03-14,
Marketing,Despesa,23500.00,2025-03-15,Campanha dia do consumidor
Assinatura SaaS,Receita,25600.00,2025-03-16,
Vendas de Software,Receita,19200.00,2025-03-17,
Viagem Comercial,Despesa,21400.00,2025-03-18,Feira Future Tech SP 2025
Assinatura SaaS,Receita,28700.00,2025-03-19,
Vendas de Software,Receita,22500.00,2025-03-20,
Assinatura SaaS,Receita,27400.00,2025-03-21,
Vendas de Software,Receita,20300.00,2025-03-22,
Assinatura SaaS,Receita,26500.00,2025-03-23,
Manutenção,Despesa,10500.00,2025-03-24,Troca de nobreaks
Vendas de Software,Receita,23800.00,2025-03-25,
Assinatura SaaS,Receita,29800.00,2025-03-26,
Vendas de Software,Receita,18900.00,2025-03-27,
Assinatura SaaS,Receita,28100.00,2025-03-28,
Vendas de Software,Receita,21700.00,2025-03-29,
Assinatura SaaS,Receita,31200.00,2025-03-30,Novo cliente fintech
Vendas de Software,Receita,24500.00,2025-03-31
